ticker,company_name,company_aliases,relevance_score,title,summary,publisher,published_at,url,source,expected_target_sentiment,expected_sentiment_label,expected_relevance_label,expected_direction,reason
PLAY,Dave & Buster's Entertainment,"Dave & Buster's Entertainment, Dave and Busters, PLAY",7.0,"3 Reasons PLAY is Risky and 1 Stock to Buy Instead",,StockStory,2026-04-08T18:13:47Z,https://example.com/play-risky,unit-test,Cautionary,Negative,High,-1,"Selected ticker is described as risky and another stock is recommended instead."
PLAY,Dave & Buster's Entertainment,"Dave & Buster's Entertainment, Dave and Busters, PLAY",7.0,"Dave & Buster's stock falls after weak guidance",,Example,2026-04-09T14:00:00Z,https://example.com/play-guidance,unit-test,Cautionary,Negative,High,-1,"Weak guidance and falls are cautionary for target."
PLAY,Dave & Buster's Entertainment,"Dave & Buster's Entertainment, Dave and Busters, PLAY",7.0,"Dave & Buster's beats earnings expectations and raises outlook",,Example,2026-04-10T14:00:00Z,https://example.com/play-beat,unit-test,Positive,Positive,High,1,"Beat and raises outlook are positive target events."
PLAY,Dave & Buster's Entertainment,"Dave & Buster's Entertainment, Dave and Busters, PLAY",1.0,"PlayStation fans celebrate a new game launch",,Example,2026-04-10T15:00:00Z,https://example.com/playstation,unit-test,Irrelevant,Neutral,Low,0,"Not about the selected ticker."
AAPL,Apple,"Apple, Apple Inc, AAPL",7.0,"Apple shares rally after analysts raise price target",,Example,2026-04-11T14:00:00Z,https://example.com/aapl-target,unit-test,Positive,Positive,High,1,"Rally and price target raise are positive."
AAPL,Apple,"Apple, Apple Inc, AAPL",7.0,"Apple faces lawsuit over App Store fees",,Example,2026-04-11T15:00:00Z,https://example.com/aapl-lawsuit,unit-test,Cautionary,Negative,High,-1,"Lawsuit is a negative target event."
AAPL,Apple,"Apple, Apple Inc, AAPL",7.0,"Apple announces new accessibility features for iPhone",,Example,2026-04-11T16:00:00Z,https://example.com/aapl-features,unit-test,Neutral,Neutral,High,0,"Product announcement without explicit financial impact."
NVDA,NVIDIA,"NVIDIA, Nvidia, NVDA",7.0,"Nvidia revenue grows as AI demand remains strong",,Example,2026-04-12T14:00:00Z,https://example.com/nvda-revenue,unit-test,Positive,Positive,High,1,"Revenue growth and strong demand are positive."
NVDA,NVIDIA,"NVIDIA, Nvidia, NVDA",7.0,"Nvidia stock drops on export restriction concerns",,Example,2026-04-12T15:00:00Z,https://example.com/nvda-export,unit-test,Cautionary,Negative,High,-1,"Drops and restriction concerns are negative."
TSLA,Tesla,"Tesla, Tesla Inc, TSLA",7.0,"Tesla deliveries miss estimates as competition intensifies",,Example,2026-04-13T14:00:00Z,https://example.com/tsla-miss,unit-test,Cautionary,Negative,High,-1,"Missed estimates are cautionary."
TSLA,Tesla,"Tesla, Tesla Inc, TSLA",7.0,"Tesla shares gain after record energy storage deployment",,Example,2026-04-13T15:00:00Z,https://example.com/tsla-storage,unit-test,Positive,Positive,High,1,"Gains and record deployment are positive."
JPM,JPMorgan Chase,"JPMorgan Chase, JP Morgan, JPM",7.0,"JPMorgan beats profit estimates on resilient trading revenue",,Example,2026-04-14T14:00:00Z,https://example.com/jpm-beat,unit-test,Positive,Positive,High,1,"Beats profit estimates are positive."
JPM,JPMorgan Chase,"JPMorgan Chase, JP Morgan, JPM",7.0,"JPMorgan warns of credit losses rising next quarter",,Example,2026-04-14T15:00:00Z,https://example.com/jpm-credit,unit-test,Cautionary,Negative,High,-1,"Warning and credit losses are cautionary."
MSTR,MicroStrategy,"MicroStrategy, Strategy, MSTR",7.0,"MicroStrategy stock sinks as Bitcoin volatility pressures shares",,Example,2026-04-15T14:00:00Z,https://example.com/mstr-sinks,unit-test,Cautionary,Negative,High,-1,"Sinks and pressure are negative."
MSTR,MicroStrategy,"MicroStrategy, Strategy, MSTR",7.0,"MicroStrategy shares rally as Bitcoin rebounds",,Example,2026-04-15T15:00:00Z,https://example.com/mstr-rally,unit-test,Positive,Positive,High,1,"Rally and rebound are positive."
SQ,Block,"Block, Square, SQ",7.0,"Block downgraded as analysts cite slowing payment growth",,Example,2026-04-16T14:00:00Z,https://example.com/sq-downgrade,unit-test,Cautionary,Negative,High,-1,"Downgrade and slowing growth are cautionary."
SQ,Block,"Block, Square, SQ",1.0,"Square dancers prepare for annual festival",,Example,2026-04-16T15:00:00Z,https://example.com/square-dance,unit-test,Irrelevant,Neutral,Low,0,"Not about Block/Square stock."
MSFT,Microsoft,"Microsoft, Microsoft Corp, MSFT",7.0,"Microsoft cloud revenue beats expectations",,Example,2026-04-17T14:00:00Z,https://example.com/msft-cloud,unit-test,Positive,Positive,High,1,"Revenue beat is positive."
MSFT,Microsoft,"Microsoft, Microsoft Corp, MSFT",7.0,"Microsoft shares slip after cautious enterprise spending commentary",,Example,2026-04-17T15:00:00Z,https://example.com/msft-slip,unit-test,Cautionary,Negative,High,-1,"Shares slip and cautious commentary are negative."
COIN,Coinbase,"Coinbase, Coinbase Global, COIN",7.0,"Coinbase gains after trading revenue surges",,Example,2026-04-18T14:00:00Z,https://example.com/coin-gains,unit-test,Positive,Positive,High,1,"Gains and revenue surge are positive."
